"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Field6Manufacturer part number","Manufacturer","Manufacturer ","Manufacturer Part Number","Manufacturer part nmber","Manufacturer part nuber","Manufacturer part number","Description"
"C1","1","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","EWH1EM220D11OT","AISHI","","","","","","Polarized capacitor"
"C2","1","220u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","SAMWHA","","","","","RD1A227M05011BB","Polarized capacitor, small symbol"
"C3","1","1u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","CL31B105KBHNNNE","SAMSUNG","","","","","","Unpolarized capacitor, small symbol"
"C4","1","100 n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","SAMSUNG","","","","","CL31B104KBCNNNC","Unpolarized capacitor, small symbol"
"C5","1","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","SAMSUNG","","","","","","Unpolarized capacitor, small symbol"
"D1,D2,D3,D5","4","LED","","","","LED_THT:LED_D5.0mm","","","","","","","","Light emitting diode"
"D4","1","11DQ06","","","","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal","","SMC DIODE SOLUTIONS","","","","","11DQ06TA","Schottky diode, filled shape"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_5.5mm","","","","","","","","Mounting Hole without connection"
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal","","DEGSON ELECTRONICS","","","","DG301-5.0-02P-12-00A(H)","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1","1","330u","","","","Inductor_THT:L_Radial_D7.2mm_P3.00mm_Murata_1700","","FERROCORE","","","","","COIL0608-0.33","Inductor, small symbol"
"R1,R2,R3,R4","4","4k7","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","","","","Resistor, small symbol"
"R5,R6,R13,R16,R17,R18","6","2k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","ROYALOHM","","","","","1206S4F2001T5E","Resistor, small symbol"
"R7,R9,R10,R11,R12,R15","6","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","","","","Resistor, small symbol"
"R8,R14","2","2K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","ROYALOHM","","","","","1206S4F2001T5E","Resistor, small symbol"
"R19,R20","2","47k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","ROYALOHM","","","","","1206S4J0473T5E","Resistor, small symbol"
"SW1","1","SW_Push_Dual_x2","","","","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","","","microswitch TACT","","","","TACT-64N-F","Push button switch, generic, separate symbols, four pins"
"SW2","1","SW2","","","","Button_Switch_SMD:Nidec_Copal_CAS-120A","","C&K","","","","","OS102011MS2QN1C","Switch, single pole double throw"
"U1","1","LM2574N-5","","","","Package_DIP:DIP-8_W7.62mm","","ONSEMI","","","","","LM2574N-5G","5V, 0.5A SIMPLE SWITCHERÂ® Step-Down Voltage Regulator, DIP-8"
"U2,U3","2","4027","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","","RENESAS","","","CD4027BMS","","CD4027BMS","Dual JK FlipFlop, set & reset"
"U4","1","74LS47","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","","TEXAS INSTRUMENTS","","SN74LS47N","","","","BCD to 7-segment Driver, Open Collector, 30V outputs"
"U5","1","FYS-3911BUHR-21","","","","Display_7Segment:HDSP-7401","","FORYARD","","FYS-3911BUHR-21","","","","One digit 7 segment yellow, common anode"
"U6","1","74LVC1G11","","","","Package_TO_SOT_SMD:SOT-23-6","","TEXAS INSTRUMENTS","","","","","SN74LVC1G11DBVR",""
"U7","1","NE555P","","","","Package_DIP:DIP-8_W7.62mm","","TEXAS INSTRUMENTS","","","","","NE555P","Precision Timers, 555 compatible,  PDIP-8"
